pobreza_ing,anios_educ,edad,es_mujer,es_rural,es_informal,horas_trabajo,fexp
0,5,45,1,1,0,46.0,110.39
0,9,42,1,0,0,57.0,379.43
1,11,56,1,1,0,30.0,175.46
0,6,50,0,0,1,39.0,231.64
0,11,18,1,0,0,38.0,221.5
0,5,44,1,0,1,41.0,359.0
1,6,30,1,0,0,21.0,242.46
0,4,58,1,0,0,39.0,365.58
1,7,20,1,0,0,21.0,79.4
1,13,56,1,1,0,42.0,126.64
0,7,23,0,1,0,12.0,270.61
0,5,25,0,0,0,16.0,428.84
0,7,44,1,0,0,48.0,79.9
0,3,26,1,0,1,31.0,67.23
0,10,54,0,0,1,26.0,112.62
0,6,50,1,0,1,53.0,306.46
0,6,59,1,0,0,42.0,209.6
0,7,61,1,1,1,48.0,380.22
0,7,41,1,1,1,36.0,78.77
0,2,32,0,0,1,70.0,128.57
0,8,49,1,0,0,31.0,170.01
0,4,49,0,0,0,59.0,300.69
1,8,41,1,1,1,37.0,324.07
1,9,58,1,0,1,18.0,99.68
1,9,29,0,0,1,44.0,427.52
1,7,56,1,1,1,42.0,186.42
0,6,19,0,0,1,25.0,335.27
1,3,20,1,0,0,27.0,259.68
0,9,54,0,0,0,38.0,139.1
1,4,34,1,0,1,42.0,388.49
0,6,19,0,0,1,8.0,377.3
0,5,19,1,0,1,51.0,208.43
0,3,45,0,0,1,32.0,285.44
0,7,40,1,0,1,22.0,153.13
1,2,54,0,1,1,49.0,325.94
0,8,49,1,0,1,38.0,173.61
0,5,50,0,0,0,53.0,387.63
1,0,18,1,1,0,43.0,136.95
0,6,36,1,1,0,38.0,55.92
1,1,19,1,1,1,36.0,157.4
0,4,61,1,0,0,44.0,126.42
0,8,43,1,0,0,33.0,253.31
0,2,49,0,1,1,28.0,131.48
0,10,23,0,1,1,45.0,355.28
1,0,49,1,0,0,36.0,146.55
1,4,21,0,1,1,38.0,332.79
0,8,28,0,0,1,51.0,281.39
0,5,34,1,1,0,37.0,444.5
0,3,55,0,1,0,38.0,449.96
0,5,41,0,1,1,31.0,397.81
1,4,22,0,1,0,43.0,353.99
0,10,51,1,1,0,42.0,204.58
0,5,23,0,0,1,49.0,351.31
1,9,39,1,0,0,31.0,432.67
0,10,28,1,0,1,33.0,59.35
0,6,33,1,0,1,48.0,265.17
0,11,50,0,1,0,41.0,137.2
1,5,26,0,0,1,27.0,273.15
0,12,23,0,0,1,54.0,236.58
1,2,33,1,0,1,18.0,280.31
0,8,46,1,1,0,47.0,270.38
0,6,20,1,0,0,23.0,434.04
0,5,37,1,0,1,61.0,270.87
0,7,53,1,0,0,19.0,388.49
0,8,36,0,1,1,52.0,177.93
0,0,43,0,0,0,37.0,225.24
0,3,20,1,1,1,34.0,238.17
0,8,36,1,0,0,40.0,161.49
0,8,37,1,0,0,46.0,201.92
0,12,49,1,1,0,27.0,289.41
0,9,24,0,0,1,28.0,282.08
0,12,58,0,0,0,46.0,304.57
1,8,50,0,0,1,18.0,190.73
1,5,57,1,0,0,31.0,176.33
0,3,56,1,0,1,74.0,294.65
0,9,35,1,0,1,26.0,103.14
0,7,57,0,0,1,52.0,151.21
1,1,18,0,0,1,31.0,66.85
0,5,28,1,1,0,44.0,79.04
0,12,45,0,1,0,46.0,147.35
0,6,42,1,0,0,52.0,57.81
0,6,40,0,0,0,36.0,148.16
0,6,48,0,0,0,62.0,311.99
0,4,47,0,0,1,31.0,74.44
0,5,59,0,0,1,41.0,224.69
0,5,52,1,0,1,41.0,415.24
1,2,24,1,0,1,25.0,366.51
0,9,33,1,0,1,35.0,172.18
1,6,43,1,0,1,40.0,419.92
0,9,19,0,1,1,33.0,181.86
0,10,18,0,0,1,67.0,79.01
0,4,29,1,1,0,28.0,447.62
0,8,22,0,1,1,52.0,398.01
0,6,54,1,0,0,48.0,236.37
0,10,49,1,0,0,38.0,316.55
0,4,26,1,0,0,28.0,318.49
0,8,58,1,0,1,29.0,127.79
1,7,52,1,0,1,32.0,130.02
0,5,36,1,1,1,17.0,237.83
1,3,33,1,0,1,26.0,414.63
1,8,20,0,0,1,20.0,54.0
0,8,37,1,1,0,54.0,363.0
0,5,41,1,1,0,45.0,73.01
0,7,50,1,0,0,47.0,241.29
0,5,41,0,1,1,45.0,305.15
0,8,28,1,0,1,40.0,324.7
0,4,25,0,0,0,56.0,73.39
0,10,53,0,0,1,31.0,217.44
0,5,55,0,0,0,39.0,283.53
1,5,57,0,1,0,47.0,76.42
1,2,37,1,0,1,22.0,104.04
0,3,52,1,0,1,75.0,315.46
0,6,42,1,0,1,38.0,258.66
0,4,52,0,0,1,40.0,114.73
1,10,42,1,0,1,53.0,264.1
1,0,46,1,0,1,49.0,415.08
0,5,35,0,1,1,38.0,56.24
0,5,63,1,0,1,40.0,307.05
1,0,35,0,0,0,20.0,79.46
1,3,19,0,0,1,31.0,52.58
0,6,52,1,0,0,44.0,110.26
0,6,33,1,0,0,43.0,219.16
0,6,58,1,1,0,53.0,370.94
0,6,53,0,1,0,37.0,162.71
0,7,50,0,0,1,21.0,300.27
0,0,21,0,0,1,51.0,214.46
0,6,50,0,1,0,55.0,143.73
0,12,31,0,0,0,49.0,255.7
1,6,38,1,0,0,36.0,368.99
0,8,37,1,0,0,51.0,383.0
0,5,25,0,1,1,79.0,388.61
0,9,24,1,0,1,39.0,185.42
1,9,20,1,1,1,22.0,367.38
1,6,34,0,1,1,31.0,134.87
0,13,50,1,0,1,46.0,345.37
0,3,29,0,1,0,19.0,429.35
1,0,39,0,1,0,40.0,55.5
0,9,39,1,0,1,43.0,226.15
0,9,63,0,0,0,56.0,309.11
0,3,47,1,0,0,54.0,330.71
0,4,55,1,0,0,48.0,120.44
1,0,55,1,0,1,12.0,438.87
0,5,62,1,0,0,49.0,296.11
0,9,25,1,0,0,46.0,115.74
1,6,44,1,1,1,41.0,58.21
0,5,44,1,0,1,17.0,363.31
0,5,51,1,0,0,29.0,81.88
1,0,38,0,0,1,24.0,106.42
0,5,47,0,0,1,14.0,279.93
0,7,50,1,0,1,38.0,291.4
0,13,45,1,0,0,28.0,324.75
0,10,64,1,0,0,70.0,207.41
1,1,50,1,1,1,36.0,359.56
0,10,22,0,1,1,54.0,439.74
0,9,36,0,0,0,19.0,158.44
0,9,21,1,1,0,32.0,331.21
0,6,52,1,1,0,39.0,421.39
0,5,34,1,0,1,27.0,324.51
0,5,61,0,1,1,33.0,322.44
1,2,45,1,1,1,35.0,139.51
0,4,47,0,0,0,35.0,264.05
1,4,46,0,0,1,60.0,275.01
0,6,63,1,0,1,43.0,330.05
0,8,23,0,0,1,44.0,448.73
0,6,52,0,1,1,44.0,63.46
0,2,58,0,0,0,45.0,76.09
1,12,54,1,1,1,37.0,81.18
0,11,41,1,1,0,34.0,347.19
0,9,46,0,0,0,40.0,104.54
0,16,63,0,1,1,52.0,298.98
0,6,48,0,0,0,52.0,179.87
0,12,52,0,0,0,35.0,232.93
0,2,50,0,0,0,47.0,136.27
0,5,38,0,0,1,36.0,396.44
1,4,49,1,0,1,38.0,284.46
1,4,40,0,1,1,32.0,427.83
0,3,50,0,1,0,36.0,279.84
0,7,20,0,0,0,54.0,99.56
0,9,35,0,1,0,39.0,118.35
0,7,42,1,1,1,40.0,445.63
0,3,59,0,0,1,21.0,340.23
0,9,48,0,0,0,34.0,69.71
0,7,20,1,1,1,35.0,331.51
0,5,57,1,0,0,28.0,214.87
0,8,63,1,0,1,38.0,172.88
0,4,41,1,0,1,33.0,111.62
1,5,49,1,1,1,39.0,385.96
0,11,64,1,0,1,39.0,75.54
0,5,39,0,0,1,27.0,165.93
0,6,40,0,0,1,33.0,172.55
0,10,19,0,1,1,39.0,114.36
0,8,44,0,0,1,52.0,253.27
1,2,59,1,0,1,41.0,54.68
0,3,19,1,1,0,30.0,170.39
1,0,43,0,0,1,43.0,423.45
0,7,34,1,1,0,58.0,174.21
0,6,57,0,1,0,49.0,194.18
0,3,50,0,1,0,45.0,239.27
0,12,26,1,0,0,47.0,274.68
0,6,60,0,0,1,55.0,373.48
0,4,56,1,1,0,51.0,126.13
0,6,46,1,1,0,45.0,398.7
0,8,59,0,0,0,51.0,353.02
0,2,43,1,1,1,25.0,339.06
0,4,52,0,0,1,20.0,84.72
0,9,42,1,0,1,40.0,58.66
1,6,41,0,0,0,39.0,287.61
1,6,30,0,1,0,31.0,395.25
0,6,24,0,0,1,48.0,283.78
1,1,53,1,0,0,16.0,135.29
0,3,62,1,1,0,32.0,86.21
0,6,37,0,0,1,32.0,329.84
1,4,18,1,0,0,18.0,338.71
0,1,25,0,0,0,56.0,119.01
0,10,63,0,0,1,22.0,61.28
0,14,33,0,1,0,31.0,213.31
0,9,31,0,1,1,49.0,283.09
0,10,29,1,0,0,46.0,332.4
0,4,40,0,1,0,25.0,373.98
0,12,32,0,0,0,46.0,294.21
0,4,45,1,0,1,41.0,94.35
0,12,51,0,0,1,66.0,323.03
0,16,19,1,0,1,43.0,443.67
0,8,49,1,0,0,36.0,412.23
0,14,40,1,0,1,28.0,398.67
0,7,39,0,0,0,29.0,170.87
0,4,42,1,0,1,28.0,350.32
0,6,39,0,0,1,54.0,390.44
0,7,39,0,0,1,38.0,321.33
1,2,59,1,1,0,45.0,150.22
0,7,23,1,1,0,56.0,431.53
0,14,32,0,0,1,10.0,230.33
1,4,60,1,1,1,53.0,101.92
1,9,54,0,1,1,39.0,93.91
0,11,50,1,0,1,43.0,309.01
0,11,25,1,0,0,28.0,225.08
0,12,61,0,1,0,29.0,87.79
0,6,61,1,0,0,44.0,346.15
0,13,22,1,1,0,67.0,369.73
0,9,56,1,1,0,50.0,340.17
0,3,21,1,0,0,53.0,130.9
0,6,23,0,1,0,36.0,325.91
0,8,62,0,0,1,31.0,54.29
1,4,49,1,0,1,29.0,172.04
1,7,47,0,1,1,32.0,209.53
0,8,64,0,0,1,13.0,384.1
0,3,52,1,1,0,29.0,206.16
0,7,57,1,1,1,31.0,54.51
1,9,33,0,1,1,36.0,190.94
0,6,30,0,0,1,40.0,249.57
0,0,59,0,0,1,42.0,429.6
0,0,47,0,0,0,38.0,426.41
0,5,36,1,0,0,31.0,122.35
0,11,34,0,0,0,14.0,124.06
0,4,36,1,1,1,31.0,115.35
0,7,45,0,1,0,26.0,365.57
0,4,43,1,0,1,44.0,52.41
0,5,54,1,0,0,49.0,100.87
0,10,43,1,1,1,49.0,265.18
0,8,40,0,0,1,47.0,149.02
0,2,26,1,0,1,36.0,86.94
1,6,29,1,1,1,32.0,193.95
1,1,18,1,1,0,29.0,159.68
0,6,18,1,0,1,20.0,254.44
1,8,64,0,1,1,50.0,441.69
0,3,51,0,0,1,36.0,99.72
0,5,49,1,1,0,23.0,199.09
0,5,42,1,0,1,28.0,422.79
0,11,57,0,0,0,28.0,400.75
0,16,62,1,1,0,39.0,207.71
1,1,18,1,0,1,51.0,329.58
0,9,33,1,1,1,34.0,85.14
0,5,56,1,1,1,11.0,335.02
0,5,22,1,1,0,36.0,439.14
1,9,39,0,1,1,36.0,265.0
0,11,46,0,0,1,35.0,249.4
0,12,20,0,1,0,30.0,124.93
0,7,29,1,0,0,41.0,303.52
0,5,43,1,0,1,39.0,286.17
0,9,33,1,1,0,38.0,310.77
0,4,54,0,0,1,43.0,60.43
0,7,39,0,0,1,33.0,269.49
0,5,46,0,0,1,32.0,287.97
0,8,31,1,1,0,55.0,133.01
0,4,45,0,1,1,45.0,133.33
0,4,22,1,0,0,48.0,160.49
0,11,64,0,0,0,53.0,334.69
1,3,47,0,1,1,44.0,292.51
0,6,63,0,0,0,49.0,388.31
1,4,22,0,0,1,19.0,168.26
0,1,29,1,0,0,40.0,414.83
0,1,33,0,0,0,36.0,347.48
0,3,43,0,0,1,58.0,208.0
0,10,43,1,1,1,49.0,88.1
0,5,38,1,0,1,30.0,152.79
0,12,56,1,1,1,42.0,432.71
0,7,53,1,1,1,40.0,174.15
1,6,50,1,1,1,43.0,181.96
0,7,47,0,0,0,26.0,125.84
0,6,54,1,0,1,42.0,372.74
0,9,40,1,0,0,35.0,160.26
1,5,27,1,1,0,41.0,182.1
1,5,22,0,0,1,29.0,215.74
0,10,53,0,0,0,31.0,223.49
0,11,51,1,0,1,52.0,214.54
0,10,48,0,0,1,25.0,251.5
1,6,27,0,0,0,26.0,375.81
1,9,36,1,0,1,37.0,377.71
1,6,49,1,0,0,29.0,369.33
0,6,18,0,0,0,27.0,90.45
0,4,22,0,0,0,39.0,369.87
0,7,62,0,1,0,20.0,98.1
0,4,21,0,0,0,26.0,99.89
0,5,33,0,0,1,63.0,429.15
0,10,41,0,0,1,44.0,377.76
0,4,33,1,0,0,29.0,270.96
1,2,19,1,1,1,43.0,399.99
0,2,45,1,0,1,45.0,445.75
0,11,49,0,1,1,50.0,294.26
1,6,44,0,1,0,36.0,295.16
1,6,37,0,1,1,50.0,351.77
0,9,41,1,0,0,14.0,142.86
0,10,29,0,0,1,25.0,116.85
0,5,52,1,1,1,40.0,353.83
0,8,50,1,0,1,42.0,187.96
0,9,50,0,1,1,27.0,104.03
0,8,60,0,1,0,41.0,175.95
0,3,54,0,1,1,31.0,193.45
0,10,29,1,0,1,35.0,436.09
0,6,20,1,1,0,50.0,329.18
1,5,18,1,1,1,49.0,262.34
0,6,50,1,1,1,26.0,437.55
0,1,57,0,0,1,25.0,411.26
1,3,27,0,0,0,33.0,254.8
0,9,60,0,0,0,38.0,412.27
0,0,61,1,0,1,30.0,211.72
0,6,46,0,0,1,50.0,142.17
1,6,30,1,1,1,42.0,143.07
1,2,29,0,0,1,43.0,314.93
0,13,48,1,1,0,23.0,250.43
0,4,63,1,0,0,52.0,313.58
0,5,19,0,0,1,5.0,324.43
0,5,52,0,0,0,48.0,58.93
0,4,40,1,0,1,49.0,71.62
0,0,34,1,1,1,33.0,263.07
0,8,43,0,0,1,53.0,126.41
0,12,25,1,0,1,37.0,303.01
1,4,46,1,0,0,39.0,270.87
0,8,43,1,1,1,42.0,284.3
0,8,27,1,0,1,76.0,170.98
0,10,43,0,0,0,54.0,305.94
0,6,51,0,0,0,46.0,381.8
0,5,58,1,0,0,27.0,449.23
0,5,24,0,0,0,40.0,385.38
1,8,21,1,1,1,28.0,273.0
0,9,62,1,0,0,48.0,127.37
1,4,28,1,0,0,40.0,322.58
0,5,46,1,0,0,25.0,425.06
0,11,53,1,0,0,39.0,134.75
0,9,42,0,0,1,28.0,152.4
0,14,38,0,1,0,40.0,109.6
1,9,53,1,1,1,28.0,344.69
1,5,27,0,1,1,38.0,212.62
0,7,54,0,1,1,47.0,75.08
0,8,26,0,0,0,37.0,399.98
0,2,41,0,0,1,33.0,273.07
0,6,52,0,0,0,40.0,182.44
0,8,52,0,0,1,46.0,187.59
0,3,53,0,0,0,25.0,166.1
0,9,35,0,0,1,41.0,232.19
0,7,56,1,1,0,54.0,184.82
0,12,49,1,1,0,45.0,269.18
0,1,41,0,1,1,39.0,359.41
0,4,40,1,1,1,46.0,319.78
1,7,49,1,0,0,43.0,167.78
0,5,54,0,0,0,47.0,261.5
1,8,29,1,1,0,14.0,386.05
0,9,30,0,0,1,19.0,77.28
0,3,40,0,0,0,50.0,81.32
0,6,42,0,0,1,20.0,272.47
0,6,52,1,0,0,43.0,305.65
1,5,58,1,0,0,34.0,134.57
0,11,47,0,0,1,26.0,348.09
0,9,34,0,0,0,42.0,308.51
0,8,37,0,1,0,40.0,419.32
0,8,42,1,0,0,63.0,117.58
0,6,39,1,0,1,31.0,350.55
0,11,30,0,0,1,55.0,83.46
0,8,36,1,0,0,42.0,276.12
1,8,53,0,1,1,30.0,270.76
0,10,29,1,1,1,48.0,205.35
0,4,58,1,1,0,45.0,387.83
0,9,36,1,0,1,38.0,51.75
1,4,29,1,0,0,41.0,258.07
0,5,26,0,0,1,31.0,136.86
1,5,24,0,0,1,28.0,347.4
0,13,45,1,0,0,47.0,67.23
0,10,31,0,0,0,35.0,382.62
0,8,48,1,0,0,37.0,385.24
0,8,36,0,1,0,41.0,383.15
0,7,64,1,0,0,41.0,111.03
0,11,33,0,1,1,21.0,302.16
0,6,22,0,0,1,53.0,55.75
0,5,52,0,0,1,39.0,389.19
0,3,29,0,1,0,36.0,339.19
1,9,42,0,1,1,43.0,262.46
0,8,38,0,0,1,41.0,342.24
0,5,53,0,0,1,47.0,87.73
0,1,40,0,0,1,44.0,261.46
0,10,33,0,0,1,47.0,166.51
1,0,56,1,1,0,54.0,439.05
1,8,62,0,1,1,49.0,392.85
0,13,59,1,0,0,36.0,343.31
0,6,56,0,0,0,25.0,423.5
0,4,31,1,0,1,58.0,188.74
0,8,48,0,0,0,35.0,410.35
0,9,22,1,1,1,32.0,180.1
0,6,52,1,1,0,17.0,343.12
0,12,40,1,0,0,42.0,344.57
0,2,46,0,0,0,40.0,57.34
0,6,60,1,0,0,20.0,194.42
0,8,28,1,0,1,43.0,57.77
1,10,35,0,1,1,32.0,448.84
0,3,64,0,0,0,70.0,98.88
0,9,29,1,0,1,31.0,267.12
1,7,26,1,0,1,33.0,366.22
1,5,27,1,1,1,28.0,130.51
0,3,61,0,0,0,53.0,244.02
1,10,34,1,1,1,34.0,292.97
0,3,55,1,1,0,29.0,114.08
0,5,24,1,1,1,46.0,361.42
0,5,63,1,0,1,21.0,169.73
0,10,30,0,0,0,46.0,134.41
0,8,57,1,0,1,59.0,273.32
0,9,59,1,0,0,45.0,214.13
0,4,26,1,0,1,46.0,418.11
0,7,44,1,0,1,48.0,402.03
0,7,19,1,0,1,59.0,243.34
0,10,22,0,1,0,53.0,193.71
0,11,46,0,0,0,43.0,180.21
1,0,54,0,1,0,49.0,157.03
1,8,55,0,1,1,27.0,267.82
1,2,36,0,1,0,47.0,371.99
1,6,25,1,1,1,26.0,174.3
0,5,62,0,1,0,34.0,126.04
1,5,18,0,1,0,5.0,240.19
0,5,39,0,0,0,43.0,77.61
0,7,34,1,0,1,30.0,330.51
1,5,24,1,0,0,51.0,257.34
0,8,42,0,0,1,43.0,248.55
1,6,62,0,0,0,51.0,170.18
1,2,21,0,0,1,25.0,411.87
1,9,53,1,0,1,50.0,86.19
0,5,23,1,0,1,63.0,397.93
1,6,48,1,0,1,47.0,200.68
0,8,36,0,1,1,47.0,402.25
1,5,61,1,0,0,40.0,341.5
0,2,56,1,1,0,32.0,91.67
0,5,44,0,0,0,47.0,382.61
0,11,27,1,1,0,20.0,322.87
0,7,43,0,1,1,33.0,62.92
0,8,36,1,1,0,17.0,103.48
1,7,56,0,1,1,30.0,304.25
0,4,20,0,0,0,46.0,315.04
0,6,62,0,1,1,44.0,348.66
0,9,30,0,1,1,39.0,338.1
0,3,45,1,1,1,40.0,313.81
1,4,37,1,1,1,15.0,356.5
1,4,45,1,0,1,34.0,280.03
1,6,25,0,1,1,30.0,154.32
0,14,58,0,0,0,30.0,414.95
0,2,56,1,0,0,45.0,57.29
0,6,18,0,0,1,28.0,196.62
1,3,20,1,1,1,31.0,341.55
0,13,30,0,0,0,13.0,220.86
0,3,45,0,0,1,34.0,59.93
0,6,42,1,0,0,25.0,76.39
1,8,50,1,1,1,39.0,309.45
0,8,55,1,0,0,27.0,435.95
1,6,23,0,0,0,39.0,270.75
0,5,61,1,0,0,36.0,252.7
0,5,62,1,1,0,58.0,177.33
1,4,49,1,1,1,44.0,152.68
1,4,62,1,1,1,16.0,58.39
0,6,64,0,0,0,23.0,159.18
0,4,38,0,1,0,39.0,229.64
0,5,33,1,0,1,27.0,129.18
0,8,38,0,0,0,5.0,84.94
0,12,28,0,0,1,54.0,337.09
0,7,54,1,0,1,47.0,407.85
1,2,53,1,1,0,44.0,424.71
1,2,52,0,0,1,31.0,297.2
0,12,36,0,0,1,43.0,71.11
1,5,37,1,0,1,30.0,346.35
1,2,35,1,0,1,40.0,94.04
0,7,64,1,0,0,27.0,317.9
0,7,58,0,0,0,56.0,361.75
1,7,31,1,0,1,19.0,340.35
0,4,32,1,1,1,53.0,430.75
1,0,48,0,1,1,38.0,345.26
0,12,18,0,1,1,32.0,327.28
0,4,20,1,0,0,40.0,154.7
1,8,33,1,1,0,47.0,419.91
0,8,40,0,1,1,54.0,121.82
1,7,28,1,1,1,42.0,411.96
0,5,29,1,0,0,27.0,175.07
0,4,27,0,0,0,39.0,102.07
0,7,49,1,1,0,60.0,380.67
1,10,33,0,0,0,54.0,51.0
0,11,25,0,0,1,49.0,382.84
0,3,55,1,0,1,48.0,154.92
0,3,29,1,0,0,46.0,403.89
0,11,41,0,1,0,52.0,326.59
0,8,45,0,0,1,33.0,316.47
0,10,25,0,0,1,22.0,196.13
1,4,45,0,1,1,39.0,73.76
0,7,53,1,0,0,28.0,382.03
0,8,43,0,0,1,25.0,118.36
0,8,25,1,0,1,29.0,198.9
0,6,45,1,1,0,68.0,290.14
